Unnamed: 0,CustInfoID,HomeBranchID,BranchID,AccountID,LoanProposalID,LoanSanctionID,IsDeleted,CreatedBy,CreatedDate,UpdatedBy,UpdatedDate,LoanProductID,IsLiveCustomer,DisbursmentDate,ProcessDate,AccountCode,MandateDate,MandateFlag,MandateValidFrom,MandateValidTo,GLId,GLAcct
1515637,576601,162,162,1515640,1513801.0,1513801.0,False,1666,2016-12-25 20:19:31.657,,,17.0,3.0,2014-06-20 00:00:00.000,2014-06-14 15:44:14.407,3.030301000151564e+16,,,,,,
1515638,576602,162,162,1515641,1513848.0,1513848.0,False,1666,2016-12-25 20:19:31.657,,,17.0,3.0,2014-06-19 00:00:00.000,2014-06-14 16:13:50.000,3.030301000151564e+16,,,,,,
1515639,576603,257,257,1515642,1514215.0,1514215.0,False,2478,2016-12-25 20:19:31.657,7162.0,2017-11-14 19:09:19.167,17.0,3.0,2014-06-18 00:00:00.000,2014-06-14 16:14:49.237,3.030301000151564e+16,,,,,,
1515640,576603,257,257,1515643,1745935.0,1745935.0,False,2478,2016-12-25 20:19:31.657,7162.0,2017-11-14 19:09:19.167,43.0,6.0,,2014-06-14 16:14:49.237,3.0303010001515644e+16,,,,,,
1515641,576603,257,257,1515644,1801541.0,1801541.0,False,2478,2016-12-25 20:19:31.657,7162.0,2017-11-14 19:09:19.167,43.0,3.0,2015-04-01 00:00:00.000,2014-06-14 16:14:49.237,1515644.0,,,,,167.0,167.0
1515642,576603,257,257,1515645,1782410.0,1782410.0,False,2478,2016-12-25 20:19:31.657,7162.0,2017-11-14 19:09:19.167,43.0,6.0,,2014-06-14 16:14:49.237,3.0303010001515644e+16,,,,,,
1515643,576604,257,257,1515646,1514222.0,1514222.0,False,2478,2016-12-25 20:19:31.657,7162.0,2017-11-14 19:09:19.167,17.0,3.0,2014-06-18 00:00:00.000,2014-06-14 16:14:49.267,3.030301000151565e+16,,,,,,
1515644,576604,257,257,1515647,1876108.0,1876108.0,False,2478,2016-12-25 20:19:31.657,7162.0,2017-11-14 19:09:19.167,98.0,3.0,2015-05-13 00:00:00.000,2014-06-14 16:14:49.267,1515647.0,,,,,167.0,167.0
1515645,576605,257,257,1515648,1514224.0,1514224.0,False,2478,2016-12-25 20:19:31.657,7162.0,2017-11-14 19:09:19.167,17.0,3.0,2014-06-18 00:00:00.000,2014-06-14 16:14:49.330,3.030301000151565e+16,,,,,,
1515646,576606,257,257,1515649,1514231.0,1514231.0,False,2478,2016-12-25 20:19:31.657,7162.0,2017-11-14 19:09:19.167,17.0,6.0,,2014-06-14 16:14:49.377,3.030301000151565e+16,,,,,,
1515647,576607,257,257,1515650,1514233.0,1514233.0,False,2478,2016-12-25 20:19:31.657,7162.0,2017-11-14 19:09:19.167,17.0,3.0,2014-06-18 00:00:00.000,2014-06-14 16:14:49.423,3.030301000151565e+16,,,,,,
